selector,model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,strategy,class_label
extra_trees_top_40,elastic_net,overall_oof,84,10.410240701372123,13.664286216880454,0.3047794980189763,0.6814642020224563,0.5154267324391032,fail_oversampled,Fail
extra_trees_top_40,elastic_net,overall_oof,2560,7.354147360667523,9.047010585571162,0.2648329782446548,0.7597199547745693,0.7089102269747307,fail_oversampled,Pass
extra_trees_top_40,extra_trees,overall_oof,84,10.264464597434356,13.762918140834346,0.29470675585145645,0.7450831880844851,0.6926607255502781,fail_oversampled,Fail
extra_trees_top_40,extra_trees,overall_oof,2560,4.815709781343541,6.429578502745325,0.6286864252687576,0.8219279560167478,0.7371995954515195,fail_oversampled,Pass
extra_trees_top_40,hist_gradient_boosting,overall_oof,84,11.292603024724526,15.22437401293659,0.13696668755181096,0.6748217924323618,0.6151252872008243,fail_oversampled,Fail
extra_trees_top_40,hist_gradient_boosting,overall_oof,2560,4.927214964102016,6.679960836914497,0.5992037468676366,0.799907292653758,0.719997692691543,fail_oversampled,Pass
extra_trees_top_40,elastic_net,overall_oof,84,10.377233362281611,13.59957255060297,0.3113489932031208,0.6813420670195303,0.5114339259158139,fail_weighted,Fail
extra_trees_top_40,elastic_net,overall_oof,2560,7.367485822596221,9.065904840560323,0.2617590483991049,0.7600059121704247,0.7076635857849077,fail_weighted,Pass
extra_trees_top_40,extra_trees,overall_oof,84,10.047254052212448,13.495515240530287,0.3218471203361104,0.7432638783472386,0.6922350964285062,fail_weighted,Fail
extra_trees_top_40,extra_trees,overall_oof,2560,4.932205307559663,6.518942119447486,0.6182930475661189,0.823185220336716,0.7390647747726752,fail_weighted,Pass
extra_trees_top_40,hist_gradient_boosting,overall_oof,84,10.959534439774318,14.777098895176824,0.1869316983649677,0.6952752772732159,0.6411596018158742,fail_weighted,Fail
extra_trees_top_40,hist_gradient_boosting,overall_oof,2560,5.066993575139088,6.94942338402184,0.5662161661719398,0.7854999158979236,0.7114227429583901,fail_weighted,Pass
extra_trees_top_40,elastic_net,overall_oof,84,14.065622834007442,18.267027385006745,-0.2424657621139601,0.6025946718138527,0.5479062880409853,unbalanced,Fail
extra_trees_top_40,elastic_net,overall_oof,2560,4.332880972570064,5.905035619955835,0.6868006416992638,0.8299999055942827,0.7697153416376049,unbalanced,Pass
extra_trees_top_40,extra_trees,overall_oof,84,12.680581389397506,16.386574283834896,0.00017265035674696172,0.7229236478521138,0.6465407699982765,unbalanced,Fail
extra_trees_top_40,extra_trees,overall_oof,2560,3.8869122040396626,5.389364261977042,0.7391139264486838,0.8608491513387291,0.7800836169698259,unbalanced,Pass
extra_trees_top_40,hist_gradient_boosting,overall_oof,84,12.515496929104827,16.046267153695773,0.04126913910414609,0.7514792129607446,0.6370147848919523,unbalanced,Fail
extra_trees_top_40,hist_gradient_boosting,overall_oof,2560,4.015008676199626,5.653322962571758,0.712932905795699,0.8467085882588785,0.7634388095670842,unbalanced,Pass
