selector,model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,class_label
correlation_pruned_top_40,elastic_net,overall_oof,84,12.983681919320464,16.869279610142026,-0.05959949786450092,0.6456088098223707,0.5437310690369368,Fail
correlation_pruned_top_40,elastic_net,overall_oof,2560,4.3868801470404275,6.047570288908864,0.67149826347225,0.8203914928579927,0.7542948705018697,Pass
correlation_pruned_top_40,extra_trees,overall_oof,84,13.140871110267215,16.9499387416137,-0.06975650546119883,0.6946383755045549,0.6410582615487856,Fail
correlation_pruned_top_40,extra_trees,overall_oof,2560,3.8900472676147033,5.36882696863649,0.7410984592717393,0.8620740412831347,0.7777170053464585,Pass
correlation_pruned_top_40,hist_gradient_boosting,overall_oof,84,12.80111520811091,16.45846709203279,-0.008619678661077268,0.7267397906664886,0.6363459391291677,Fail
correlation_pruned_top_40,hist_gradient_boosting,overall_oof,2560,3.9800047108612246,5.563103348924856,0.7220222236433349,0.8519170305795838,0.7706780780246727,Pass
correlation_pruned_top_40,mean_baseline,overall_oof,84,15.855665527045542,20.84665528914178,-0.6181599223155849,0.02612337601921594,0.07262628023576331,Fail
correlation_pruned_top_40,mean_baseline,overall_oof,2560,8.067901913501197,10.564176901532035,-0.002414061832165304,-0.028552676254705332,-0.024300052937925906,Pass
extra_trees_top_40,elastic_net,overall_oof,84,14.065622834007442,18.267027385006745,-0.2424657621139601,0.6025946718138527,0.5479062880409853,Fail
extra_trees_top_40,elastic_net,overall_oof,2560,4.332880972570064,5.905035619955835,0.6868006416992638,0.8299999055942827,0.7697153416376049,Pass
extra_trees_top_40,extra_trees,overall_oof,84,12.680581389397503,16.386574283834896,0.00017265035674696172,0.7229236478521138,0.6465407699982765,Fail
extra_trees_top_40,extra_trees,overall_oof,2560,3.886912204039663,5.389364261977042,0.7391139264486838,0.8608491513387291,0.7800836169698259,Pass
extra_trees_top_40,hist_gradient_boosting,overall_oof,84,12.515496929104827,16.046267153695773,0.04126913910414609,0.7514792129607446,0.6370147848919523,Fail
extra_trees_top_40,hist_gradient_boosting,overall_oof,2560,4.015008676199626,5.653322962571758,0.712932905795699,0.8467085882588785,0.7634388095670842,Pass
extra_trees_top_40,mean_baseline,overall_oof,84,15.855665527045542,20.84665528914178,-0.6181599223155849,0.02612337601921594,0.07262628023576331,Fail
extra_trees_top_40,mean_baseline,overall_oof,2560,8.067901913501197,10.564176901532035,-0.002414061832165304,-0.028552676254705332,-0.024300052937925906,Pass
mutual_info_top_40,elastic_net,overall_oof,84,14.450060663392781,18.95998674885903,-0.3385195823327545,0.5461605506054084,0.5266146979256797,Fail
mutual_info_top_40,elastic_net,overall_oof,2560,4.315630832818836,5.902463229665212,0.6870734581746678,0.8301249164841784,0.7656066120473403,Pass
mutual_info_top_40,extra_trees,overall_oof,84,12.96201583585791,16.92996847352133,-0.06723723509767043,0.6834966347329177,0.6137875956752553,Fail
mutual_info_top_40,extra_trees,overall_oof,2560,3.899345289695902,5.3977143722765275,0.738304882941117,0.860390262667795,0.78039329016836,Pass
mutual_info_top_40,hist_gradient_boosting,overall_oof,84,12.543717589482288,16.15272608976823,0.028505542057245203,0.7442054881989362,0.6337295014052375,Fail
mutual_info_top_40,hist_gradient_boosting,overall_oof,2560,4.00626836073818,5.587703629043583,0.7195583287878073,0.8501799510939778,0.7635159982498598,Pass
mutual_info_top_40,mean_baseline,overall_oof,84,15.855665527045542,20.84665528914178,-0.6181599223155849,0.02612337601921594,0.07262628023576331,Fail
mutual_info_top_40,mean_baseline,overall_oof,2560,8.067901913501197,10.564176901532035,-0.002414061832165304,-0.028552676254705332,-0.024300052937925906,Pass
