selector,model,fold,rows,mae,rmse,r2,pearson_r,spearman_r
correlation_pruned_top_40,mean_baseline,1,531,8.23777625130682,10.962781785706547,-0.00046959793601764055,,
correlation_pruned_top_40,elastic_net,1,531,4.6494083321703386,6.920461313311942,0.6013126581622006,0.7776452393900135,0.7397880727836131
correlation_pruned_top_40,hist_gradient_boosting,1,531,4.307483863403345,6.35730566984482,0.6635592876245324,0.8153752227883871,0.7522807269958306
correlation_pruned_top_40,extra_trees,1,531,4.194036508989672,6.238789084501183,0.6759866054665074,0.8226055648064056,0.7711962273470744
mutual_info_top_40,mean_baseline,1,531,8.23777625130682,10.962781785706547,-0.00046959793601764055,,
mutual_info_top_40,elastic_net,1,531,4.6014138108244245,6.823883786992285,0.6123626634378233,0.7840855691398383,0.7506396500947056
mutual_info_top_40,hist_gradient_boosting,1,531,4.236127891138266,6.2783529870983115,0.6718640485301015,0.8204675203141044,0.757762884002521
mutual_info_top_40,extra_trees,1,531,4.212318943830652,6.303623353915831,0.6692172385284052,0.8188469824303826,0.7660874536883249
extra_trees_top_40,mean_baseline,1,531,8.23777625130682,10.962781785706547,-0.00046959793601764055,,
extra_trees_top_40,elastic_net,1,531,4.618590392222182,6.8378821884924825,0.6107706466458978,0.7822658047878127,0.7637753472635314
extra_trees_top_40,hist_gradient_boosting,1,531,4.25990944682119,6.328095523430924,0.6666438978759593,0.817341480348292,0.7489225376969881
extra_trees_top_40,extra_trees,1,531,4.202678600637782,6.266980056997014,0.6730517763306065,0.8209838652246805,0.7710811070505831
correlation_pruned_top_40,mean_baseline,2,531,8.027710772802546,10.938035187707635,-0.003781159391982314,,
correlation_pruned_top_40,elastic_net,2,531,4.623250733328144,6.7741945400075,0.6149866961596164,0.7845032166047052,0.737690470050968
correlation_pruned_top_40,hist_gradient_boosting,2,531,4.272574197340329,6.277801903024209,0.6693445980250776,0.8182268384615224,0.7377416993745566
correlation_pruned_top_40,extra_trees,2,531,4.285619529106656,6.33359769753265,0.6634408860620212,0.8148724295655365,0.7477277506849425
mutual_info_top_40,mean_baseline,2,531,8.027710772802546,10.938035187707635,-0.003781159391982314,,
mutual_info_top_40,elastic_net,2,531,4.589873023725108,6.734873526781704,0.6194433663681037,0.7879034453125181,0.7443687403811385
mutual_info_top_40,hist_gradient_boosting,2,531,4.267990678879248,6.17487511153407,0.6800981407839167,0.8249008072792197,0.7442580272214834
mutual_info_top_40,extra_trees,2,531,4.305505225011969,6.3380913269589625,0.6629631454421272,0.814455946515287,0.7490987134391874
extra_trees_top_40,mean_baseline,2,531,8.027710772802546,10.938035187707635,-0.003781159391982314,,
extra_trees_top_40,elastic_net,2,531,4.7219779777606465,6.7730081491133785,0.6151215420890022,0.7845837133410932,0.7379276201356006
extra_trees_top_40,hist_gradient_boosting,2,531,4.327389938233309,6.234678954519895,0.6738716166516148,0.8210555073763758,0.7383239209618278
extra_trees_top_40,extra_trees,2,531,4.2957305662943766,6.280635706630878,0.6690460145497916,0.8182818697814572,0.7496109840359739
correlation_pruned_top_40,mean_baseline,3,531,8.403365513471106,11.125061854575337,-1.4311975826242218e-05,,
correlation_pruned_top_40,elastic_net,3,531,4.468726125499643,6.197991837966081,0.6896131260682807,0.8314877861891941,0.7646432917386736
correlation_pruned_top_40,hist_gradient_boosting,3,531,4.054528724908263,5.868772479842354,0.7217110941742183,0.8498731558269965,0.7798722275603104
correlation_pruned_top_40,extra_trees,3,531,4.00095621617458,5.842805667187647,0.7241682653504411,0.851854416316227,0.7743973908826826
mutual_info_top_40,mean_baseline,3,531,8.403365513471106,11.125061854575337,-1.4311975826242218e-05,,
mutual_info_top_40,elastic_net,3,531,4.546152892753381,6.687181455071948,0.6386836930404471,0.8012312350178644,0.7661400541249945
mutual_info_top_40,hist_gradient_boosting,3,531,4.071899039493703,5.870606132680169,0.7215371685497363,0.8496682647089632,0.7592407476548347
mutual_info_top_40,extra_trees,3,531,4.027421341820138,5.905370245334961,0.7182294433541094,0.848118875996782,0.7787695693356042
extra_trees_top_40,mean_baseline,3,531,8.403365513471106,11.125061854575337,-1.4311975826242218e-05,,
extra_trees_top_40,elastic_net,3,531,4.4548923470440025,6.49692495188105,0.6589507905429993,0.8134893133098052,0.7619601985621938
extra_trees_top_40,hist_gradient_boosting,3,531,4.045817714233484,5.789194060789172,0.7292069195130837,0.8540992507787134,0.7591779825427378
extra_trees_top_40,extra_trees,3,531,3.9839034843380654,5.797257210317434,0.7284520767422686,0.8543831568238964,0.7779463930477993
correlation_pruned_top_40,mean_baseline,4,530,8.51309112238822,11.051753939157495,-0.0005579521949399258,,
correlation_pruned_top_40,elastic_net,4,530,4.672024484766424,6.584998331615777,0.6447851017675041,0.8052649978894459,0.7386311177595147
correlation_pruned_top_40,hist_gradient_boosting,4,530,4.356190563328574,6.433568783161443,0.6609343997313548,0.82015267180396,0.7597858189789501
correlation_pruned_top_40,extra_trees,4,530,4.160291248891088,5.899686018185031,0.7148734678294212,0.8470792056049395,0.7710265533564835
mutual_info_top_40,mean_baseline,4,530,8.51309112238822,11.051753939157495,-0.0005579521949399258,,
mutual_info_top_40,elastic_net,4,530,4.6065023424270235,6.580353134026689,0.6452860772630162,0.8046296740452333,0.7574599092797109
mutual_info_top_40,hist_gradient_boosting,4,530,4.50769026250386,6.6041284697659455,0.6427182278544579,0.8097236870574409,0.7353277721378099
mutual_info_top_40,extra_trees,4,530,4.1063701577448075,5.8512034044435035,0.7195404549075863,0.8499394774407357,0.7803868674113379
extra_trees_top_40,mean_baseline,4,530,8.51309112238822,11.051753939157495,-0.0005579521949399258,,
extra_trees_top_40,elastic_net,4,530,4.675055059098637,6.618783129476456,0.6411308414121029,0.802691504885752,0.7568069816022642
extra_trees_top_40,hist_gradient_boosting,4,530,4.513804451046899,6.776484035859789,0.6238260884713376,0.8023482764292795,0.7456942739827929
extra_trees_top_40,extra_trees,4,530,4.084415752684693,5.790474884222302,0.7253319157762749,0.8536542159469817,0.7834713604391321
correlation_pruned_top_40,mean_baseline,5,530,8.489750175525911,11.269049638816094,-0.0001357741465406459,,
correlation_pruned_top_40,elastic_net,5,530,5.012261210969155,7.054301057733248,0.6080845734106396,0.7799627397764455,0.7259714163892413
correlation_pruned_top_40,hist_gradient_boosting,5,530,4.43142370380833,6.345046135398839,0.6829308804809548,0.8265967228428353,0.777444184108894
correlation_pruned_top_40,extra_trees,5,530,4.394059132926083,6.33586641357369,0.6838476589530358,0.8275450121833509,0.7815337858954676
mutual_info_top_40,mean_baseline,5,530,8.489750175525911,11.269049638816094,-0.0001357741465406459,,
mutual_info_top_40,elastic_net,5,530,4.96805005923136,6.983427106176106,0.6159200939564412,0.7850089028340357,0.7385771140391187
mutual_info_top_40,hist_gradient_boosting,5,530,4.421635992242737,6.319215217302331,0.6855072258711785,0.8283999604407086,0.7799324166479822
mutual_info_top_40,extra_trees,5,530,4.393261752447071,6.358324963041876,0.6816023757749814,0.8262423132440431,0.784263484385308
extra_trees_top_40,mean_baseline,5,530,8.489750175525911,11.269049638816094,-0.0001357741465406459,,
extra_trees_top_40,elastic_net,5,530,4.864667116745788,6.79486819836994,0.6363810970325099,0.7981031408549515,0.7602537496332926
extra_trees_top_40,hist_gradient_boosting,5,530,4.387005655058428,6.33304058354545,0.6841296073059733,0.8273971489252003,0.7805229320583817
extra_trees_top_40,extra_trees,5,530,4.369254233213053,6.338642174737759,0.6835705837862234,0.8274796874305328,0.7872734177547264
correlation_pruned_top_40,elastic_net,overall_oof,2653,4.685015814232892,6.712932577367454,0.6321357179971556,0.7950793486381861,0.7401453886758123
correlation_pruned_top_40,extra_trees,overall_oof,2653,4.206939619065568,6.133928457929155,0.69285711171498,0.832467350739048,0.7673757151654701
correlation_pruned_top_40,hist_gradient_boosting,overall_oof,2653,4.284357762820858,6.259598282963164,0.6801429137341606,0.8249623840150855,0.7601174827547871
correlation_pruned_top_40,mean_baseline,overall_oof,2653,8.334212810158204,11.069917105974882,-0.00034956776254535527,-0.024920601985437874,-0.024083887849585033
extra_trees_top_40,elastic_net,overall_oof,2653,4.666959062924535,6.705501232389113,0.6329497327990448,0.7955960469530714,0.755096241186623
extra_trees_top_40,extra_trees,overall_oof,2653,4.187166645439237,6.099818548770481,0.6962635702673932,0.8344645439044142,0.7710311628704611
extra_trees_top_40,hist_gradient_boosting,overall_oof,2653,4.30667717148803,6.299942835703672,0.6760065213620754,0.8225544815292487,0.7548739522187186
extra_trees_top_40,mean_baseline,overall_oof,2653,8.334212810158204,11.069917105974882,-0.00034956776254535527,-0.024920601985437874,-0.024083887849585033
mutual_info_top_40,elastic_net,overall_oof,2653,4.662304284989367,6.763290719878661,0.6265958304106003,0.7916928206195166,0.7494420223016858
mutual_info_top_40,extra_trees,overall_oof,2653,4.208944696028504,6.1554438105277836,0.6906986655603828,0.8311097058072071,0.7692137129009072
mutual_info_top_40,hist_gradient_boosting,overall_oof,2653,4.300945445030589,6.25376327289831,0.6807389581915054,0.8252342636191946,0.7540492931662227
mutual_info_top_40,mean_baseline,overall_oof,2653,8.334212810158204,11.069917105974882,-0.00034956776254535527,-0.024920601985437874,-0.024083887849585033
