rank,feature,feature_family,is_count_or_fraction,family_selection_reason,composite_score,pass_fail_abs_corr,need_review_abs_corr,mainpeak_abs_corr,max_abs_correlation_to_previous_selected
1,rna_count_middle,rna,True,preferred_count_or_fraction_within_family,0.9026915113871635,0.04059956479150812,0.19180046184806798,0.6314073900839435,0.0
2,modified_token_position_std,modified_token,False,non_count_fraction_score_advantage,0.8385093167701863,0.03951829292669578,0.12190330672708058,0.49412006582490986,0.7191722683232832
3,token_rC_count,token_rC,True,preferred_count_or_fraction_within_family,0.8385093167701863,0.021181086049593685,0.19704087271418153,0.6461651999455345,0.7444356372445188
4,lna_span_fraction,lna,True,preferred_count_or_fraction_within_family,0.8364389233954451,0.194742597654153,0.13874841990433204,0.1521331747219715,0.06434927375514302
5,base_U_count,base_U,True,preferred_count_or_fraction_within_family,0.808488612836439,0.030879721435334625,0.11040427334678753,0.5455338463776778,0.7042121681354584
6,star_count_3p,star,True,preferred_count_or_fraction_within_family,0.7515527950310559,0.07028314964496563,0.0736158321064006,0.2558377845265485,0.4312883464385201
7,token_lG_fraction,token_lG,True,preferred_count_or_fraction_within_family,0.7308488612836439,0.14888126999915824,0.1034688069815617,0.13004259372385019,0.7136378864964267
8,longest_rU_run,longest_rU_run,False,no_count_or_fraction_candidate,0.6418219461697723,0.05782187864774335,0.0854478402194585,0.10827446763132775,0.4023716343340262
9,longest_lC_run,longest_lC_run,False,no_count_or_fraction_candidate,0.6128364389233955,0.10881316452743334,0.07556164256544769,0.08573732811267823,0.6472792920334741
